"query name","prior Vuln for rand prior","Traditional post-vuln for random Prior","Max-based post-vuln for random Prior","Leakage using traditional pvuln for rand prior","Leakage using max-based pvuln for rand prior"
"q3",4.34e-2,7.97e-2,0.12305075134675361,0.8768846815459924,1.5034865191231979
"q3",5.35e-2,8.13e-2,8.509335782063056e-2,0.6037164607865184,0.6695076315463846
"q3",4.55e-2,8.75e-2,0.11263073209975867,0.9434164716336324,1.3076620803558727
"q3",6.14e-2,0.1149,0.15914981855883878,0.9040682372759339,1.3740749515003459
"q3",3.57e-2,6.770000000000001e-2,0.1156462585034014,0.9232317595458973,1.6957226119343252
"q3",4.28e-2,6.49e-2,0.1103896103896104,0.6006076815979916,1.3669216937037407
"q3",6.14e-2,9.41e-2,0.15141800246609127,0.6159560673583574,1.302226180444814
"q3",8.69e-2,0.12440000000000001,0.20939759036144576,0.5175584033162024,1.2688167584277998
"q3",4.76e-2,8.92e-2,0.12875270813989476,0.9060821366123611,1.4355692991172342
"q3",3.32e-2,6.64e-2,0.10397745067334795,1.0,1.6470155419793557
"q3",4.92e-2,7.58e-2,0.11465517241379314,0.6235395328318519,1.220571219696465
"q3",4.21e-2,7.38e-2,0.11875881523272212,0.809800582994,1.4961424674225707
"q3",4.54e-2,8.89e-2,0.17093373493975905,0.969491121538855,1.9126729482025249
"q3",5.94e-2,9.89e-2,0.15211267605633802,0.7355075899583451,1.3566055465201077
"q3",4.95e-2,8.73e-2,0.10962877030162413,0.8185531286624681,1.1471260297144517
"q3",5.21e-2,8.360000000000001e-2,0.16220423412204235,0.6822195698023746,1.6384562020321352
"q3",5.61e-2,0.1026,0.1620773788776577,0.8709580549982612,1.5306100721673854
"q3",6.12e-2,9.77e-2,0.11858349577647821,0.6748269092757334,0.9542996742959668
"q3",6.21e-2,0.1024,0.18542848611525833,0.7215505417795185,1.5781977188427339

"query name","prior Vuln for piece-wise random prior","Traditional post-vuln for piece-wise rand Prior","Max-based post-vuln for piece-wise rand Prior","Leakage using trad. pvuln for p-wise rand prior","Leakage using max-based pvuln for p-wise prior"
"q3",3.86e-2,6.0050000000000006e-2,0.1230125163084775,0.6375633984375537,1.6721323621251434
"q3",0.1064,0.1674,0.28705882352941176,0.6538013770491541,1.4318482505860821
"q3",4.92e-2,8.39e-2,0.23831436183095178,0.7700124951005834,2.276135676373272
"q3",4.96e-2,9.64e-2,0.16673346693386773,0.9586930258430865,1.7491316870790437
"q3",4.94e-2,7.32e-2,0.22902178952248484,0.5673326066993648,2.212901918388995
"q3",1.9563636363636363e-2,2.4775401069518716e-2,3.2258064516129004e-2,0.34073385811367024,0.7214853252432462
"q3",4.55e-2,5.26e-2,0.14003944773175545,0.2091962542062439,1.6218948269647329
"q3",3.36e-2,4.84e-2,0.11174027935069837,0.5265458144958343,1.7336161940300168
"q3",2.71e-2,4.8e-2,0.14730412310583815,0.8247415542546469,2.4424330559025895
"q3",5.4220000000000004e-2,7.255333333333333e-2,9.733708335826709e-2,0.4202167846863172,0.8441644326796865
"q3",5.226666666666666e-2,7.256666666666667e-2,0.1509694555112882,0.4734158480729985,1.530293630951525
"q3",2.41e-2,4.21e-2,9.414225941422592e-2,0.8047870868364345,1.9658093316684138
"q3",0.2271,0.3425,0.3854542368566212,0.5927762820283637,0.7632318799603414
"q3",4.53e-2,7.49e-2,0.14841009828483323,0.7254546684125157,1.7120063053736772
"q3",6.43e-2,0.1124,0.1813172018883842,0.8057513928929789,1.4956251599772048
"q3",3.44e-2,5.86e-2,0.2469387755102041,0.76849209972015,2.8436729231193754
"q3",5.67e-2,7.595e-2,0.11429419622977584,0.4217012295598545,1.0113315062022035
"q3",4.99e-2,9.609999999999999e-2,0.31535836177474397,0.9454966154364898,2.659880466318636
"q3",4.14e-2,5.62e-2,0.116078431372549,0.44093936272160095,1.4873972559328534
"q3",7.06e-2,0.1181,0.31025473546701504,0.742268876125977,2.1357131419967916


"query name","prior Vuln for rand prior","Traditional post-vuln for random Prior","Max-based post-vuln for random Prior","Leakage using traditional pvuln for rand prior","Leakage using max-based pvuln for rand prior"
"q4",6.73e-2,9.559999999999999e-2,0.261070110701107,0.5064041133704313,1.9557588864171433
"q4",4.34e-2,8.26e-2,0.24631101021566396,0.9284467389749661,2.5047141706290357
"q4",5.35e-2,7.96e-2,0.19787717968157698,0.5732295392551396,1.8869944455792802
"q4",4.55e-2,8.75e-2,0.25285972305839854,0.9434164716336324,2.474398804167137
"q4",6.14e-2,0.1149,0.4182561307901907,0.9040682372759339,2.7680761267062364
"q4",3.57e-2,6.7e-2,0.2432012432012432,0.9082370213160351,2.7681546242322663
"q4",4.28e-2,7.74e-2,0.32549388523047973,0.8547227697432634,2.9269477392539223
"q4",6.14e-2,9.58e-2,0.25652498135719615,0.6417870003660008,2.062788766976894
"q4",8.69e-2,9.920000000000001e-2,0.16226912928759893,0.190983943572475,0.9009604799031972
"q4",4.76e-2,7.97e-2,0.2753001715265866,0.7436181506825281,2.5319720301633124
"q4",3.32e-2,5.3000000000000005e-2,0.21639344262295085,0.6748091181036369,2.7044016351107296
"q4",4.92e-2,7.39e-2,0.30195599022004893,0.586916048806911,2.617608072853139
"q4",4.21e-2,6.79e-2,0.20298977183320221,0.6895913411783358,2.2695148969013488
"q4",4.54e-2,6.44e-2,0.18867924528301885,0.504368390823702,2.0551715325826976
"q4",5.94e-2,7.56e-2,0.19636363636363638,0.3479233034203068,1.7249929525001304
"q4",4.95e-2,9.4e-2,0.2942925089179549,0.9252322315980278,2.5717503892943054
"q4",5.21e-2,8.360000000000001e-2,0.28101402373247036,0.6822195698023746,2.431286850923919
"q4",5.61e-2,0.1026,0.3290870488322718,0.8709580549982612,2.552396574602111
"q4",6.12e-2,9.77e-2,0.2524204702627939,0.6748269092757334,2.0442253536730592
"q4",6.21e-2,9.53e-2,0.2656,0.6178829456894604,2.0965899731264432

"query name","prior Vuln for piece-wise random prior","Traditional post-vuln for piece-wise rand Prior","Max-based post-vuln for piece-wise rand Prior","Leakage using trad. pvuln for p-wise rand prior","Leakage using max-based pvuln for p-wise prior"
"q4",3.86e-2,4.288e-2,0.1200561009817672,0.15170405830232972,1.6370359673512658
"q4",0.1064,0.1674,0.5292841648590023,0.6538013770491541,2.3145443411818087
"q4",4.92e-2,8.39e-2,0.6469428007889548,0.7700124951005834,3.716907941824953
"q4",4.96e-2,7.995e-2,0.1729673252279635,0.6887579130934568,1.8020875024041707
"q4",4.94e-2,7.050000000000001e-2,0.48524338827136837,0.5131122157014785,3.296125608575661
"q4",1.9563636363636363e-2,2.4775401069518716e-2,8.333333333333333e-2,0.34073385811367024,2.090719134908966
"q4",4.55e-2,4.92e-2,0.37185929648241206,0.11279177025318117,3.0308183895486924
"q4",3.36e-2,4.53e-2,0.24735729386892175,0.43104981726747493,2.8800633030146985
"q4",2.71e-2,4.8e-2,0.6153091265947006,0.8247415542546469,4.504946634831803
"q4",5.4220000000000004e-2,5.9890000000000006e-2,0.15035799522673032,0.1434900191406752,1.471504566399665
"q4",5.226666666666666e-2,8.146666666666666e-2,0.45492989094146447,0.6403187257035213,3.121681170569581
